teamname,playername,dateupdated,plink,tdate,tweet,polarity,subjectivity,approval,numrt,numfav
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/nhlshitpost/status/1264725609378394117,2020-05-25 01:10:57+00:00,I hate Joe Thornton.,-0.8,0.9,-0.08,0,2
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/nhlshitpost/status/1264705497913004035,2020-05-24 23:51:02+00:00,"According to himself, Joe Thornton is a big smart genius.",0.107,0.371,0.067,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/JumboJoeThorn19/status/1264692308475170817,2020-05-24 22:58:37+00:00,"""If I scored 4 goals in a game, I'd have my cock out and stroke it"" - Joe Thornton",-0.4,0.4,-0.24,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/BenchWarmerView/status/1264673748273127425,2020-05-24 21:44:52+00:00,"Joe Thornton following me on Twitter is easily the most exciting thing that's happened in my life in weeks, even though it's a fake account. That's literally how bored I am.",0.039,0.706,0.011,0,9
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/JumboJoeThorn19/status/1264669701470187521,2020-05-24 21:28:47+00:00,I love how Brenden Dillon follows you even though you're not the real Doug Wilson lol,0.5,0.533,0.233,0,4
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/JumboJoeThorn19/status/1264669468392710144,2020-05-24 21:27:52+00:00,Call me when he becomes a great hockey player like me,0.8,0.75,0.2,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/JumboJoeThorn19/status/1264669340646817793,2020-05-24 21:27:21+00:00,"We should've won the cup that year. But we'll get one, I feel it",0.0,0.0,0.0,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/JumboJoeThorn19/status/1264669126510866433,2020-05-24 21:26:30+00:00,That's a good looking watch you got there. Especially the screensaver,0.35,0.8,0.07,1,3
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/JeffVeillette/status/1264662681744748556,2020-05-24 21:00:54+00:00,"All-Time: Jaromir Jagr - Joe Thornton* - Jarome Iginla Jay Bouwmeester - John Carlson/Klingberg Jaques Plante *Bias pick, Sakic/Beliveau ok too Active: Johnny Gaudreau - John Tavares* - Jakub Voracek Jaccob Slavin - John Carlson/Klingberg John Gibson *Bias pick, Eichel ok too ",0.289,0.533,0.135,0,6
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/nhlshitpost/status/1264652882453897224,2020-05-24 20:21:57+00:00,Joe Thornton?,0.0,0.0,0.0,0,0
